codepoint,supported
U+1FB00,yes
U+1FB01,yes
U+1FB02,yes
U+1FB03,yes
U+1FB04,yes
U+1FB05,yes
U+1FB06,yes
U+1FB07,yes
U+1FB08,yes
U+1FB09,yes
U+1FB0A,yes
U+1FB0B,yes
U+1FB0C,yes
U+1FB0D,yes
U+1FB0E,yes
U+1FB0F,yes
U+1FB10,yes
U+1FB11,yes
U+1FB12,yes
U+1FB13,yes
U+1FB14,yes
U+1FB15,yes
U+1FB16,yes
U+1FB17,yes
U+1FB18,yes
U+1FB19,yes
U+1FB1A,yes
U+1FB1B,yes
U+1FB1C,yes
U+1FB1D,yes
U+1FB1E,yes
U+1FB1F,yes
U+1FB20,yes
U+1FB21,yes
U+1FB22,yes
U+1FB23,yes
U+1FB24,yes
U+1FB25,yes
U+1FB26,yes
U+1FB27,yes
U+1FB28,yes
U+1FB29,yes
U+1FB2A,yes
U+1FB2B,yes
U+1FB2C,yes
U+1FB2D,yes
U+1FB2E,yes
U+1FB2F,yes
U+1FB30,yes
U+1FB31,yes
U+1FB32,yes
U+1FB33,yes
U+1FB34,yes
U+1FB35,yes
U+1FB36,yes
U+1FB37,yes
U+1FB38,yes
U+1FB39,yes
U+1FB3A,yes
U+1FB3B,yes
U+1FB3C,yes
U+1FB3D,yes
U+1FB3E,yes
U+1FB3F,yes
U+1FB40,yes
U+1FB41,yes
U+1FB42,yes
U+1FB43,yes
U+1FB44,yes
U+1FB45,yes
U+1FB46,yes
U+1FB47,yes
U+1FB48,yes
U+1FB49,yes
U+1FB4A,yes
U+1FB4B,yes
U+1FB4C,yes
U+1FB4D,yes
U+1FB4E,yes
U+1FB4F,yes
U+1FB50,yes
U+1FB51,yes
U+1FB52,yes
U+1FB53,yes
U+1FB54,yes
U+1FB55,yes
U+1FB56,yes
U+1FB57,yes
U+1FB58,yes
U+1FB59,yes
U+1FB5A,yes
U+1FB5B,yes
U+1FB5C,yes
U+1FB5D,yes
U+1FB5E,yes
U+1FB5F,yes
U+1FB60,yes
U+1FB61,yes
U+1FB62,yes
U+1FB63,yes
U+1FB64,yes
U+1FB65,yes
U+1FB66,yes
U+1FB67,yes
U+1FB68,yes
U+1FB69,yes
U+1FB6A,yes
U+1FB6B,yes
U+1FB6C,yes
U+1FB6D,yes
U+1FB6E,yes
U+1FB6F,yes
U+1FB70,yes
U+1FB71,yes
U+1FB72,yes
U+1FB73,yes
U+1FB74,yes
U+1FB75,yes
U+1FB76,yes
U+1FB77,yes
U+1FB78,yes
U+1FB79,yes
U+1FB7A,yes
U+1FB7B,yes
U+1FB7C,yes
U+1FB7D,yes
U+1FB7E,yes
U+1FB7F,yes
U+1FB80,yes
U+1FB81,yes
U+1FB82,yes
U+1FB83,yes
U+1FB84,yes
U+1FB85,yes
U+1FB86,yes
U+1FB87,yes
U+1FB88,yes
U+1FB89,yes
U+1FB8A,yes
U+1FB8B,yes
U+1FB8C,yes
U+1FB8D,yes
U+1FB8E,yes
U+1FB8F,yes
U+1FB90,yes
U+1FB91,yes
U+1FB92,yes
U+1FB93,yes
U+1FB94,yes
U+1FB95,yes
U+1FB96,yes
U+1FB97,yes
U+1FB98,yes
U+1FB99,yes
U+1FB9A,yes
U+1FB9B,yes
U+1FB9C,yes
U+1FB9D,yes
U+1FB9E,yes
U+1FB9F,yes
U+1FBA0,yes
U+1FBA1,yes
U+1FBA2,yes
U+1FBA3,yes
U+1FBA4,yes
U+1FBA5,yes
U+1FBA6,yes
U+1FBA7,yes
U+1FBA8,yes
U+1FBA9,yes
U+1FBAA,yes
U+1FBAB,yes
U+1FBAC,yes
U+1FBAD,yes
U+1FBAE,yes
U+1FBAF,yes
U+1FBB0,no
U+1FBB1,no
U+1FBB2,no
U+1FBB3,no
U+1FBB4,no
U+1FBB5,no
U+1FBB6,no
U+1FBB7,no
U+1FBB8,no
U+1FBB9,no
U+1FBBA,no
U+1FBBB,no
U+1FBBC,no
U+1FBBD,yes
U+1FBBE,yes
U+1FBBF,yes
U+1FBC0,no
U+1FBC1,no
U+1FBC2,no
U+1FBC3,no
U+1FBC4,no
U+1FBC5,no
U+1FBC6,no
U+1FBC7,no
U+1FBC8,no
U+1FBC9,no
U+1FBCA,no
U+1FBCB,no
U+1FBCC,no
U+1FBCD,no
U+1FBCE,yes
U+1FBCF,yes
U+1FBD0,yes
U+1FBD1,yes
U+1FBD2,yes
U+1FBD3,yes
U+1FBD4,yes
U+1FBD5,yes
U+1FBD6,yes
U+1FBD7,yes
U+1FBD8,yes
U+1FBD9,yes
U+1FBDA,yes
U+1FBDB,yes
U+1FBDC,yes
U+1FBDD,yes
U+1FBDE,yes
U+1FBDF,yes
U+1FBE0,yes
U+1FBE1,yes
U+1FBE2,yes
U+1FBE3,yes
U+1FBE4,yes
U+1FBE5,yes
U+1FBE6,yes
U+1FBE7,yes
U+1FBE8,yes
U+1FBE9,yes
U+1FBEA,yes
U+1FBEB,yes
U+1FBEC,yes
U+1FBED,yes
U+1FBEE,yes
U+1FBEF,yes
U+1FBF0,no
U+1FBF1,no
U+1FBF2,no
U+1FBF3,no
U+1FBF4,no
U+1FBF5,no
U+1FBF6,no
U+1FBF7,no
U+1FBF8,no
U+1FBF9,no
U+1FBFA,no
U+1FBFB,no
U+1FBFC,no
U+1FBFD,no
U+1FBFE,no
U+1FBFF,no
