codepoint,supported
U+1FB00,no
U+1FB01,no
U+1FB02,no
U+1FB03,no
U+1FB04,no
U+1FB05,no
U+1FB06,no
U+1FB07,no
U+1FB08,no
U+1FB09,no
U+1FB0A,no
U+1FB0B,no
U+1FB0C,no
U+1FB0D,no
U+1FB0E,no
U+1FB0F,no
U+1FB10,no
U+1FB11,no
U+1FB12,no
U+1FB13,no
U+1FB14,no
U+1FB15,no
U+1FB16,no
U+1FB17,no
U+1FB18,no
U+1FB19,no
U+1FB1A,no
U+1FB1B,no
U+1FB1C,no
U+1FB1D,no
U+1FB1E,no
U+1FB1F,no
U+1FB20,no
U+1FB21,no
U+1FB22,no
U+1FB23,no
U+1FB24,no
U+1FB25,no
U+1FB26,no
U+1FB27,no
U+1FB28,no
U+1FB29,no
U+1FB2A,no
U+1FB2B,no
U+1FB2C,no
U+1FB2D,no
U+1FB2E,no
U+1FB2F,no
U+1FB30,no
U+1FB31,no
U+1FB32,no
U+1FB33,no
U+1FB34,no
U+1FB35,no
U+1FB36,no
U+1FB37,no
U+1FB38,no
U+1FB39,no
U+1FB3A,no
U+1FB3B,no
U+1FB3C,no
U+1FB3D,no
U+1FB3E,no
U+1FB3F,no
U+1FB40,no
U+1FB41,no
U+1FB42,no
U+1FB43,no
U+1FB44,no
U+1FB45,no
U+1FB46,no
U+1FB47,no
U+1FB48,no
U+1FB49,no
U+1FB4A,no
U+1FB4B,no
U+1FB4C,no
U+1FB4D,no
U+1FB4E,no
U+1FB4F,no
U+1FB50,no
U+1FB51,no
U+1FB52,no
U+1FB53,no
U+1FB54,no
U+1FB55,no
U+1FB56,no
U+1FB57,no
U+1FB58,no
U+1FB59,no
U+1FB5A,no
U+1FB5B,no
U+1FB5C,no
U+1FB5D,no
U+1FB5E,no
U+1FB5F,no
U+1FB60,no
U+1FB61,no
U+1FB62,no
U+1FB63,no
U+1FB64,no
U+1FB65,no
U+1FB66,no
U+1FB67,no
U+1FB68,no
U+1FB69,no
U+1FB6A,no
U+1FB6B,no
U+1FB6C,no
U+1FB6D,no
U+1FB6E,no
U+1FB6F,no
U+1FB70,no
U+1FB71,no
U+1FB72,no
U+1FB73,no
U+1FB74,no
U+1FB75,no
U+1FB76,no
U+1FB77,no
U+1FB78,no
U+1FB79,no
U+1FB7A,no
U+1FB7B,no
U+1FB7C,no
U+1FB7D,no
U+1FB7E,no
U+1FB7F,no
U+1FB80,no
U+1FB81,no
U+1FB82,no
U+1FB83,no
U+1FB84,no
U+1FB85,no
U+1FB86,no
U+1FB87,no
U+1FB88,no
U+1FB89,no
U+1FB8A,no
U+1FB8B,no
U+1FB8C,no
U+1FB8D,no
U+1FB8E,no
U+1FB8F,no
U+1FB90,no
U+1FB91,no
U+1FB92,no
U+1FB93,no
U+1FB94,no
U+1FB95,no
U+1FB96,no
U+1FB97,no
U+1FB98,no
U+1FB99,no
U+1FB9A,no
U+1FB9B,no
U+1FB9C,no
U+1FB9D,no
U+1FB9E,no
U+1FB9F,no
U+1FBA0,no
U+1FBA1,no
U+1FBA2,no
U+1FBA3,no
U+1FBA4,no
U+1FBA5,no
U+1FBA6,no
U+1FBA7,no
U+1FBA8,no
U+1FBA9,no
U+1FBAA,no
U+1FBAB,no
U+1FBAC,no
U+1FBAD,no
U+1FBAE,no
U+1FBAF,no
U+1FBB0,no
U+1FBB1,no
U+1FBB2,no
U+1FBB3,no
U+1FBB4,no
U+1FBB5,no
U+1FBB6,no
U+1FBB7,no
U+1FBB8,no
U+1FBB9,no
U+1FBBA,no
U+1FBBB,no
U+1FBBC,no
U+1FBBD,no
U+1FBBE,no
U+1FBBF,no
U+1FBC0,no
U+1FBC1,no
U+1FBC2,no
U+1FBC3,no
U+1FBC4,no
U+1FBC5,no
U+1FBC6,no
U+1FBC7,no
U+1FBC8,no
U+1FBC9,no
U+1FBCA,no
U+1FBCB,no
U+1FBCC,no
U+1FBCD,no
U+1FBCE,no
U+1FBCF,no
U+1FBD0,no
U+1FBD1,no
U+1FBD2,no
U+1FBD3,no
U+1FBD4,no
U+1FBD5,no
U+1FBD6,no
U+1FBD7,no
U+1FBD8,no
U+1FBD9,no
U+1FBDA,no
U+1FBDB,no
U+1FBDC,no
U+1FBDD,no
U+1FBDE,no
U+1FBDF,no
U+1FBE0,no
U+1FBE1,no
U+1FBE2,no
U+1FBE3,no
U+1FBE4,no
U+1FBE5,no
U+1FBE6,no
U+1FBE7,no
U+1FBE8,no
U+1FBE9,no
U+1FBEA,no
U+1FBEB,no
U+1FBEC,no
U+1FBED,no
U+1FBEE,no
U+1FBEF,no
U+1FBF0,no
U+1FBF1,no
U+1FBF2,no
U+1FBF3,no
U+1FBF4,no
U+1FBF5,no
U+1FBF6,no
U+1FBF7,no
U+1FBF8,no
U+1FBF9,no
U+1FBFA,no
